종목코드,종목명,시장구분,업종명,시가총액
100840,SNT에너지,KOSPI,기계,167024319750
101000,상상인인더스트리,KOSDAQ,기계·장비,37540116552
101140,인바이오젠,KOSPI,유통업,65792982110
101160,월덱스,KOSDAQ,반도체,449099009600
101170,우림피티에스,KOSDAQ,기계·장비,97065000000
101240,씨큐브,KOSDAQ,화학,80801326480
101330,모베이스,KOSDAQ,IT부품,90921323460
101360,에코앤드림,KOSDAQ,화학,437205338900
101390,아이엠,KOSDAQ,IT부품,99048101580
101400,엔시트론,KOSDAQ,반도체,38209360904
101490,에스앤에스텍,KOSDAQ,반도체,1162668427400
101530,해태제과식품,KOSPI,음식료품,176156773100
101670,하이드로리튬,KOSDAQ,금속,780550617450
101680,한국정밀기계,KOSDAQ,기계·장비,34330340000
101730,위메이드맥스,KOSDAQ,디지털컨텐츠,403538939040
101930,인화정공,KOSDAQ,운송장비·부품,101902218600
102120,어보브반도체,KOSDAQ,반도체,183497370960
102260,동성케미컬,KOSPI,서비스업,225839813760
102280,쌍방울,KOSPI,섬유의복,69061729927
102370,케이옥션,KOSDAQ,유통,135598933650
102460,이연제약,KOSPI,의약품,324514343310
102710,이엔에프테크놀로지,KOSDAQ,화학,325048269000
102940,코오롱생명과학,KOSDAQ,제약,357777360600
103140,풍산,KOSPI,철강금속,1129378403400
103230,에스앤더블류,KOSDAQ,기계·장비,34308000000
103590,일진전기,KOSPI,전기전자,286631414700
103840,우양,KOSDAQ,음식료·담배,52112990000
104040,대성파인텍,KOSDAQ,운송장비·부품,52711357204
104200,NHN벅스,KOSDAQ,디지털컨텐츠,88965300000
104460,디와이피엔에프,KOSDAQ,기계·장비,214808181250
104480,티케이케미칼,KOSDAQ,화학,221330381790
104540,코렌텍,KOSDAQ,의료·정밀기기,156658587460
104620,노랑풍선,KOSDAQ,기타서비스,126103322960
104700,한국철강,KOSPI,철강금속,278896500000
104830,원익머트리얼즈,KOSDAQ,반도체,344198400000
105330,케이엔더블유,KOSDAQ,운송장비·부품,141619907940
105550,트루윈,KOSDAQ,일반전기전자,101113088880
